-	mapped_CRC001_H_single.sam	mapped_CRC001_T_single.sam	mapped_CRC002_H_single.sam	mapped_CRC002_T_single.sam	mapped_CRC003_H_single.sam	mapped_CRC003_T_single.sam	mapped_CRC004_H_single.sam	mapped_CRC004_T_single.sam	mapped_CRC005_H_single.sam	mapped_CRC005_T_single.sam	mapped_CRC006_H_single.sam	mapped_CRC006_T_single.sam	mapped_CRC007_H_single.sam	mapped_CRC007_T_single.sam	mapped_CRC009_H_single.sam	mapped_CRC009_T_single.sam	mapped_CRC010_H_single.sam	mapped_CRC010_T_single.sam	mapped_CRC011_H_single.sam	mapped_CRC011_T_single.sam	mapped_CRC012_H_single.sam	mapped_CRC012_T_single.sam	mapped_CRC013_H_single.sam	mapped_CRC013_T_single.sam
NODE_35434_length_930_cov_3.06514	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	6
NODE_35440_length_1093_cov_1.3237	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0
NODE_35560_length_890_cov_1.18563	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NODE_35569_length_827_cov_1.52591	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NODE_35577_length_1615_cov_2.68846	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0
NODE_35606_length_1177_cov_1.92157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
NODE_35667_length_900_cov_3.44379	0	0	0	1	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NODE_35677_length_882_cov_1.7896	4	0	0	0	1	0	0	0	0	14	1	0	0	0	2	0	2	0	0	0	0	0	0	2
NODE_35720_length_856_cov_1.94632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	1	0	0
NODE_35766_length_971_cov_1.46179	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0
NODE_35820_length_1262_cov_1.81773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0
NODE_35879_length_1083_cov_2.12062	0	1	0	0	0	0	0	0	6	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0
NODE_35947_length_857_cov_2.61222	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	8
NODE_35958_length_1257_cov_1.66889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	1	0	0	0	0	0	0
NODE_35966_length_835_cov_2.27692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0
NODE_35983_length_875_cov_1.58171	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	3
NODE_36000_length_892_cov_2.39188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0
NODE_36019_length_818_cov_1.65138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0
NODE_36037_length_1423_cov_1.68421	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0
NODE_36054_length_1056_cov_1.39461	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_36063_length_1978_cov_2.12116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	15	0	0	0	1	0	0	0	0
NODE_36266_length_1143_cov_1.84283	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0
